Year,maxDHW,RCP,Reef
2049,9.610484149,2.6,Thetford
2050,1.492832173,2.6,Thetford
2051,13.29069261,2.6,Thetford
2052,15.70437187,2.6,Thetford
2053,12.39125022,2.6,Thetford
2054,1.585292938,2.6,Thetford
2055,2.446422854,2.6,Thetford
2056,8.205028797,2.6,Thetford
2057,0.475106905,2.6,Thetford
2058,0.147461876,2.6,Thetford
2059,3.99624377,2.6,Thetford
2060,19.54347872,2.6,Thetford
2061,8.138940158,2.6,Thetford
2062,2.240775165,2.6,Thetford
2063,0.626900062,2.6,Thetford
2064,7.735338479,2.6,Thetford
2065,1.865467042,2.6,Thetford
2066,6.715375378,2.6,Thetford
2067,12.84105634,2.6,Thetford
2068,2.000721268,2.6,Thetford
2069,4.852616508,2.6,Thetford
2070,0,2.6,Thetford
2071,2.770985595,2.6,Thetford
2072,7.324167378,2.6,Thetford
2073,5.642568401,2.6,Thetford
2074,5.530904972,2.6,Thetford
2075,3.97390996,2.6,Thetford
2076,0.918602172,2.6,Thetford
2077,1.627304566,2.6,Thetford
2078,2.183080727,2.6,Thetford
2079,7.060648312,2.6,Thetford
2080,3.061346214,2.6,Thetford
2081,18.22548181,2.6,Thetford
2082,13.83936181,2.6,Thetford
2083,1.926747064,2.6,Thetford
2084,0,2.6,Thetford
2085,0.309336697,2.6,Thetford
2086,8.191430949,2.6,Thetford
2087,1.91412693,2.6,Thetford
2088,7.852188424,2.6,Thetford
2089,4.947604002,2.6,Thetford
2090,2.789862184,2.6,Thetford
2091,6.156560389,2.6,Thetford
2092,0.947524117,2.6,Thetford
2093,4.808823495,2.6,Thetford
2094,1.308930377,2.6,Thetford
2095,7.151641119,2.6,Thetford
2096,7.270921984,2.6,Thetford
2097,3.646531182,2.6,Thetford
2098,3.255001155,2.6,Thetford
2099,5.304563694,2.6,Thetford
2021,0.929073848,4.5,Thetford
2022,8.604317542,4.5,Thetford
2023,0,4.5,Thetford
2024,0.148619835,4.5,Thetford
2025,0.640075949,4.5,Thetford
2026,0.146956156,4.5,Thetford
2027,0,4.5,Thetford
2028,2.087370878,4.5,Thetford
2029,1.79646437,4.5,Thetford
2030,4.386304655,4.5,Thetford
2031,6.306681422,4.5,Thetford
2032,4.104314728,4.5,Thetford
2033,12.42528684,4.5,Thetford
2034,0,4.5,Thetford
2035,0.147062932,4.5,Thetford
2036,10.5332044,4.5,Thetford
2037,13.46771687,4.5,Thetford
2038,0,4.5,Thetford
2039,10.16221836,4.5,Thetford
2040,0.500010768,4.5,Thetford
2041,6.366256218,4.5,Thetford
2042,0,4.5,Thetford
2043,3.392234549,4.5,Thetford
2044,5.165072114,4.5,Thetford
2045,1.731274095,4.5,Thetford
