"","lat","long","siteref","site_id","habitat","area","rubble","k","Reef","reef_siteid","x","y"
"153",-19.651068632895,149.7542992794,"L_153","1_BR_1","Back Reef",2322.29829628486,FALSE,40.1851851851852,19156100104,"19156100104_1_BR_1",36,32
"154",-19.6601670852859,149.762937644264,"L_154","1_BR_2","Back Reef",5972.55240450241,FALSE,29.3548387096774,19156100104,"19156100104_1_BR_2",36,29
"155",-19.6594310814182,149.746571831651,"L_155","1_BR_3","Back Reef",9290.04654388083,TRUE,26.734693877551,19156100104,"19156100104_1_BR_3",33,33
"156",-19.6688242102935,149.745855689293,"L_156","1_BR_4","Back Reef",5641.11330495821,FALSE,7.8125,19156100104,"19156100104_1_BR_4",31,31
"157",-19.6773188722922,149.762798792455,"L_157","1_BR_5","Back Reef",5973.98218866484,FALSE,30.0819672131148,19156100104,"19156100104_1_BR_5",32,27
"158",-19.6773768328745,149.745362603234,"L_158","1_BR_6","Back Reef",4646.17085904954,FALSE,29.3478260869565,19156100104,"19156100104_1_BR_6",29,30
"159",-19.6788770176453,149.75226455083,"L_159","1_BR_7","Back Reef",8960.86147306021,FALSE,25.6382978723404,19156100104,"19156100104_1_BR_7",30,28
"160",-19.6477446165951,149.759785912691,"L_160","1_C_1","Crest",113789.354083374,FALSE,47.1599340478153,19156100104,"19156100104_1_C_1",38,32
"161",-19.6615818563517,149.750645044663,"L_161","1_C_3","Crest",94231.7015140117,FALSE,57.59682224429,19156100104,"19156100104_1_C_3",33,31
"162",-19.6698467484649,149.749904392774,"L_162","1_C_4","Crest",81632.4723770837,FALSE,21.5189873417722,19156100104,"19156100104_1_C_4",32,30
"163",-19.676158169717,149.748619509464,"L_163","1_C_5","Crest",47125.1430577813,FALSE,15.8730158730159,19156100104,"19156100104_1_C_5",30,30
"164",-19.6491643823679,149.754768776279,"L_164","1_IF_1","Inner Flat",79619.655972078,FALSE,56.1176470588235,19156100104,"19156100104_1_IF_1",37,33
"165",-19.6566087726808,149.751446064028,"L_165","1_OF_2","Outer Flat",66024.1296807248,FALSE,25.1788268955651,19156100104,"19156100104_1_OF_2",35,32
"166",-19.650755985826,149.75373227167,"L_166","1_OF_3","Outer Flat",186446.219258971,FALSE,47.9594391587381,19156100104,"19156100104_1_OF_3",36,33
"167",-19.653137095233,149.747774611572,"L_167","1_OF_4","Outer Flat",89575.0531687359,FALSE,61.4233576642336,19156100104,"19156100104_1_OF_4",35,33
"168",-19.6702544270036,149.749137099325,"L_168","1_OF_5","Outer Flat",54753.6627065293,FALSE,35.1027397260274,19156100104,"19156100104_1_OF_5",31,30
"169",-19.6453662417244,149.75667571963,"L_169","1_SS_4","Sheltered Slope",24216.5078677903,FALSE,34.6317829457364,19156100104,"19156100104_1_SS_4",38,33
"170",-19.6513999214384,149.757472975511,"L_170","1_S_1","Slope",84267.5150434342,FALSE,35.0998890122087,19156100104,"19156100104_1_S_1",37,32
"171",-19.6777786068111,149.750261122053,"L_171","1_S_10","Slope",78654.7294410029,FALSE,22.7197149643705,19156100104,"19156100104_1_S_10",30,29
"172",-19.6696842275408,149.741377824513,"L_172","1_S_11","Slope",51433.5465711332,FALSE,22.0272727272727,19156100104,"19156100104_1_S_11",30,32
"173",-19.6667689264016,149.750965818663,"L_173","1_S_2","Slope",48446.6231815573,FALSE,29.7398843930636,19156100104,"19156100104_1_S_2",32,31
"174",-19.6708383380019,149.764270865321,"L_174","1_S_6","Slope",67699.3239253773,FALSE,32.2847222222222,19156100104,"19156100104_1_S_6",34,27
"175",-19.6750005209406,149.76321806618,"L_175","1_S_7","Slope",53764.171820086,FALSE,41.2065972222222,19156100104,"19156100104_1_S_7",33,27
"176",-19.6600636407352,149.751637810942,"L_176","1_S_8","Slope",57068.8760947306,FALSE,31.0626029654036,19156100104,"19156100104_1_S_8",34,31
